step_size,optim_number,x1,x2,x_HJ1,x_HJ2,y,f_calls_HJ,is_global_min_HJ,x_Rosen.1,x_ROsen2,y_Rosen,f_calls_Rosen,is_global_min_Rosen
0.5,67,-0.775367,0.86232,-0.818844,0.818844,1.36192,489,0,-0.775083,0.775084,1.24089,489,0
0.5,68,-0.621844,-0.969019,0.173587,-0.173588,1.64699,340,0,8.11129e-07,-0.775084,0.620446,340,0
0.5,69,0.762115,-0.0758079,0.806431,-0.0314926,0.682843,388,0,0.775083,-3.37458e-07,0.620446,388,0
0.5,70,-0.140888,-0.485161,0.172137,-0.172137,1.62374,321,0,6.5951e-07,-5.69258e-07,2.41451e-11,321,1
0.5,71,-0.63872,0.678932,-0.658825,0.658827,1.98129,343,0,-4.98794e-07,1.47532e-07,8.60689e-12,343,1
0.5,72,-0.239487,-0.580332,0.170424,-0.170422,1.59634,411,0,-0.775083,-5.72915e-07,0.620446,411,0
0.5,73,-0.581178,-0.54141,-0.019883,0.0198849,0.025105,307,0,-7.90297e-07,7.50421e-07,3.77822e-11,307,1
0.5,74,-0.218545,-0.516929,0.149192,-0.149192,1.26635,401,0,-0.775083,4.03559e-07,0.620446,401,0
0.5,75,0.210175,-0.82438,0.897071,-0.137483,1.626,327,0,0.775084,-0.775083,1.24089,327,0
0.5,76,-0.26818,-0.573647,0.152734,-0.152733,1.32,420,0,-7.6566e-07,-4.48784e-07,2.5056e-11,420,1
0.5,77,-0.363557,0.595332,-0.0946461,0.864243,1.14237,380,0,3.16954e-07,5.35541e-07,1.23195e-11,380,1
0.5,78,-0.313842,0.433497,-0.761002,-0.0136635,0.632517,305,0,-7.19404e-07,0.775084,0.620446,305,0
0.5,79,0.806341,-0.195148,0.118224,-0.883265,1.39893,173,0,0.775083,-0.775083,1.24089,173,0
0.5,80,0.83563,-0.108079,0.857238,-0.0864711,1.06188,122,0,0.775083,4.80845e-07,0.620446,122,0
0.5,81,-0.913405,-0.946714,0.016654,-0.0166556,0.0176234,147,0,-2.912e-07,-0.775083,0.620446,147,0
0.5,82,0.33075,0.520715,-0.0949833,0.0949816,0.548698,272,0,0.775084,7.096e-07,0.620446,272,0
0.5,83,0.627267,-0.966116,0.796691,-0.796692,1.27028,282,0,7.29282e-07,-0.775083,0.620446,282,0
0.5,84,0.392707,0.38235,0.780242,0.769885,1.24257,429,0,0.775083,0.775083,1.24089,429,0
0.5,85,0.221641,0.965634,0.0152998,0.759293,0.635592,294,0,0.775083,0.775084,1.24089,294,0
0.5,86,0.590746,0.780073,-0.0946637,0.0946639,0.545187,286,0,-6.81558e-08,0.775084,0.620446,286,0
0.5,87,0.970854,-0.663702,0.817278,-0.817278,1.3534,221,0,0.775084,-3.01773e-07,0.620446,221,0
