Czas;VA;VB;TB
397x;1.76904x;2.52421x;48.8675x
398x;1.76297x;2.52439x;48.8521x
399x;1.75692x;2.52455x;48.8365x
400x;1.75087x;2.52471x;48.8209x
401x;1.74484x;2.52486x;48.8052x
402x;1.73881x;2.52499x;48.7895x
403x;1.7328x;2.52511x;48.7737x
404x;1.7268x;2.52522x;48.7578x
405x;1.7208x;2.52533x;48.7418x
406x;1.71482x;2.52542x;48.7258x
407x;1.70885x;2.5255x;48.7097x
408x;1.70289x;2.52557x;48.6935x
409x;1.69694x;2.52563x;48.6773x
410x;1.691x;2.52567x;48.661x
411x;1.68507x;2.52571x;48.6446x
412x;1.67915x;2.52574x;48.6282x
413x;1.67324x;2.52576x;48.6117x
414x;1.66734x;2.52576x;48.5951x
415x;1.66145x;2.52576x;48.5785x
416x;1.65557x;2.52574x;48.5618x
417x;1.6497x;2.52572x;48.545x
418x;1.64385x;2.52568x;48.5282x
419x;1.638x;2.52564x;48.5113x
420x;1.63216x;2.52558x;48.4944x
421x;1.62634x;2.52552x;48.4773x
422x;1.62052x;2.52544x;48.4602x
423x;1.61472x;2.52535x;48.4431x
424x;1.60892x;2.52526x;48.4259x
425x;1.60314x;2.52515x;48.4086x
426x;1.59736x;2.52503x;48.3912x
427x;1.5916x;2.52491x;48.3738x
428x;1.58585x;2.52477x;48.3564x
429x;1.58011x;2.52462x;48.3388x
430x;1.57437x;2.52447x;48.3212x
431x;1.56865x;2.5243x;48.3035x
432x;1.56294x;2.52412x;48.2858x
433x;1.55724x;2.52394x;48.268x
434x;1.55155x;2.52374x;48.2502x
435x;1.54587x;2.52354x;48.2323x
436x;1.5402x;2.52332x;48.2143x
437x;1.53454x;2.5231x;48.1962x
438x;1.52889x;2.52286x;48.1781x
439x;1.52325x;2.52262x;48.16x
440x;1.51762x;2.52236x;48.1417x
441x;1.51201x;2.5221x;48.1234x
442x;1.5064x;2.52182x;48.1051x
443x;1.5008x;2.52154x;48.0867x
444x;1.49522x;2.52125x;48.0682x
445x;1.48964x;2.52095x;48.0497x
446x;1.48407x;2.52064x;48.0311x
447x;1.47852x;2.52031x;48.0124x
448x;1.47297x;2.51998x;47.9937x
449x;1.46744x;2.51964x;47.9749x
450x;1.46192x;2.5193x;47.9561x
451x;1.4564x;2.51894x;47.9372x
452x;1.4509x;2.51857x;47.9182x
453x;1.44541x;2.51819x;47.8992x
454x;1.43992x;2.51781x;47.8801x
455x;1.43445x;2.51741x;47.861x
456x;1.42899x;2.51701x;47.8418x
457x;1.42354x;2.51659x;47.8226x
458x;1.4181x;2.51617x;47.8032x
459x;1.41267x;2.51574x;47.7839x
460x;1.40725x;2.5153x;47.7644x
461x;1.40184x;2.51485x;47.7449x
462x;1.39644x;2.51439x;47.7254x
463x;1.39105x;2.51392x;47.7058x
464x;1.38567x;2.51345x;47.6861x
465x;1.38031x;2.51296x;47.6664x
466x;1.37495x;2.51247x;47.6466x
467x;1.3696x;2.51196x;47.6267x
468x;1.36427x;2.51145x;47.6068x
469x;1.35894x;2.51093x;47.5869x
470x;1.35363x;2.5104x;47.5668x
471x;1.34832x;2.50986x;47.5468x
472x;1.34303x;2.50932x;47.5266x
473x;1.33774x;2.50876x;47.5064x
474x;1.33247x;2.5082x;47.4862x
475x;1.3272x;2.50762x;47.4659x
476x;1.32195x;2.50704x;47.4455x
477x;1.31671x;2.50645x;47.4251x
478x;1.31148x;2.50585x;47.4046x
479x;1.30625x;2.50525x;47.3841x
480x;1.30104x;2.50463x;47.3635x
481x;1.29584x;2.50401x;47.3428x
482x;1.29065x;2.50338x;47.3221x
483x;1.28547x;2.50273x;47.3013x
484x;1.2803x;2.50209x;47.2805x
485x;1.27514x;2.50143x;47.2596x
486x;1.26999x;2.50076x;47.2387x
487x;1.26485x;2.50009x;47.2177x
488x;1.25973x;2.49941x;47.1966x
489x;1.25461x;2.49871x;47.1755x
490x;1.2495x;2.49802x;47.1544x
491x;1.2444x;2.49731x;47.1331x
492x;1.23932x;2.49659x;47.1119x
493x;1.23424x;2.49587x;47.0905x
494x;1.22918x;2.49514x;47.0691x
495x;1.22412x;2.4944x;47.0477x
496x;1.21908x;2.49365x;47.0262x
497x;1.21404x;2.49289x;47.0046x
498x;1.20902x;2.49213x;46.983x
499x;1.204x;2.49136x;46.9613x
500x;1.199x;2.49058x;46.9396x
501x;1.19401x;2.48979x;46.9178x
502x;1.18903x;2.489x;46.896x
503x;1.18405x;2.48819x;46.8741x
504x;1.17909x;2.48738x;46.8521x
505x;1.17414x;2.48656x;46.8301x
506x;1.1692x;2.48574x;46.8081x
507x;1.16427x;2.4849x;46.7859x
508x;1.15935x;2.48406x;46.7638x
509x;1.15444x;2.48321x;46.7415x
510x;1.14954x;2.48235x;46.7193x
511x;1.14465x;2.48148x;46.6969x
512x;1.13978x;2.48061x;46.6745x
513x;1.13491x;2.47973x;46.6521x
514x;1.13005x;2.47884x;46.6296x
515x;1.12521x;2.47795x;46.607x
516x;1.12037x;2.47704x;46.5844x
517x;1.11554x;2.47613x;46.5617x
518x;1.11073x;2.47521x;46.539x
519x;1.10592x;2.47429x;46.5162x
